word,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
babysitter's name,0.0,0.0,0.02,0.02,0.02,0.05,0.03,0.08,0.14500000000000002,0.13,0.14500000000000002,0.25,0.25,0.3,0.29,0.34,0.39,0.47,0.45,0.49,0.63,0.44,0.47
back,0.0,0.0,0.01,0.02,0.01,0.02,0.02,0.03,0.035,0.065,0.09,0.13,0.12,0.17,0.21,0.32,0.36,0.41,0.43,0.49,0.66,0.57,0.64
backyard,0.0,0.01,0.0,0.01,0.02,0.02,0.02,0.03,0.02,0.03,0.05,0.07,0.09,0.16,0.17,0.24,0.29,0.36,0.41,0.45,0.65,0.51,0.57
bad,0.01,0.01,0.02,0.03,0.03,0.05,0.04,0.08,0.055,0.08499999999999999,0.085,0.14,0.19,0.23,0.28,0.33,0.41,0.51,0.53,0.59,0.73,0.64,0.71
ball,0.05,0.05,0.09,0.15,0.21,0.36,0.41,0.53,0.725,0.74,0.8,0.89,0.93,0.93,0.93,0.92,0.95,0.97,0.94,0.97,0.99,0.95,0.96
balloon,0.0,0.01,0.02,0.04,0.06,0.12,0.16,0.28,0.36,0.375,0.45,0.59,0.64,0.65,0.66,0.76,0.82,0.87,0.88,0.89,0.96,0.91,0.91
banana,0.02,0.02,0.04,0.09,0.13,0.17,0.23,0.29,0.485,0.525,0.63,0.68,0.73,0.75,0.8,0.85,0.88,0.91,0.9,0.91,0.96,0.94,0.96
basement,,,,,,,,,0.01,0.02,0.02,0.02,0.04,0.06,0.11,0.13,0.14,0.17,0.18,0.24,0.28,0.25,0.23
basket,,,,,,,,,0.02,0.05,0.07,0.18,0.15,0.21,0.25,0.34,0.4,0.47,0.48,0.51,0.72,0.61,0.65
bat,,,,,,,,,0.05,0.06,0.11,0.14,0.17,0.18,0.22,0.26,0.36,0.41,0.44,0.43,0.7,0.54,0.56
bath,0.0,0.03,0.02,0.04,0.07,0.11,0.1,0.23,0.33499999999999996,0.375,0.44999999999999996,0.6,0.61,0.67,0.73,0.79,0.8,0.85,0.85,0.87,0.95,0.86,0.86
bathroom,0.0,0.01,0.0,0.02,0.02,0.02,0.03,0.06,0.03,0.07,0.1,0.21,0.23,0.27,0.42,0.46,0.54,0.65,0.68,0.69,0.85,0.78,0.81
bathtub,0.0,0.01,0.01,0.03,0.03,0.06,0.07,0.12,0.14,0.165,0.24,0.33,0.36,0.38,0.51,0.57,0.6,0.67,0.71,0.72,0.87,0.74,0.76
be,,,,,,,,,0.0,0.03,0.02,0.05,0.03,0.05,0.08,0.11,0.13,0.17,0.23,0.25,0.38,0.36,0.42
beach,0.01,0.01,0.0,0.01,0.02,0.02,0.03,0.03,0.03,0.04,0.07,0.1,0.14,0.2,0.25,0.29,0.33,0.37,0.45,0.52,0.67,0.58,0.67
beads,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.03,0.04,0.04,0.045,0.1,0.11,0.13,0.13,0.17,0.21,0.24,0.23,0.26,0.44,0.3,0.35
beans,,,,,,,,,0.05,0.09,0.13,0.24,0.24,0.29,0.36,0.4,0.46,0.47,0.53,0.56,0.74,0.55,0.63
bear,0.01,0.01,0.02,0.01,0.04,0.07,0.08,0.2,0.265,0.275,0.345,0.51,0.55,0.57,0.6,0.66,0.74,0.78,0.79,0.84,0.91,0.86,0.85
because,,,,,,,,,0.0,0.02,0.02,0.03,0.04,0.03,0.06,0.11,0.11,0.13,0.22,0.26,0.36,0.35,0.44
bed,0.0,0.03,0.02,0.03,0.03,0.05,0.04,0.1,0.115,0.19,0.255,0.4,0.48,0.56,0.62,0.71,0.74,0.84,0.84,0.88,0.94,0.88,0.87
bedroom,0.01,0.01,0.0,0.02,0.02,0.01,0.02,0.04,0.02,0.045,0.060000000000000005,0.13,0.15,0.21,0.27,0.33,0.43,0.51,0.54,0.6,0.77,0.68,0.72
bee,0.01,0.01,0.02,0.03,0.03,0.05,0.05,0.08,0.14,0.23,0.29500000000000004,0.4,0.44,0.5,0.5,0.64,0.68,0.72,0.71,0.74,0.89,0.82,0.83
before,,,,,,,,,0.0,0.02,0.01,0.01,0.01,0.03,0.06,0.06,0.09,0.11,0.17,0.19,0.27,0.32,0.36
behind,,,,,,,,,0.0,0.02,0.02,0.04,0.05,0.06,0.09,0.14,0.18,0.23,0.3,0.35,0.47,0.46,0.49
belly button,0.01,0.0,0.0,0.03,0.02,0.05,0.07,0.14,0.2,0.265,0.32,0.42,0.47,0.54,0.6,0.65,0.7,0.75,0.75,0.79,0.89,0.8,0.83
belt,,,,,,,,,0.02,0.05,0.08,0.14,0.15,0.17,0.23,0.24,0.28,0.37,0.37,0.42,0.64,0.49,0.5
bench,,,,,,,,,0.0,0.03,0.02,0.04,0.04,0.05,0.09,0.14,0.15,0.16,0.23,0.26,0.38,0.31,0.4
beside,,,,,,,,,0.0,0.01,0.02,0.01,0.02,0.02,0.05,0.08,0.1,0.1,0.13,0.15,0.21,0.22,0.29
better,,,,,,,,,0.01,0.03,0.04,0.09,0.08,0.13,0.2,0.23,0.28,0.34,0.41,0.48,0.61,0.53,0.61
bib,0.0,0.01,0.0,0.02,0.02,0.03,0.03,0.08,0.115,0.135,0.20500000000000002,0.31,0.28,0.32,0.36,0.47,0.5,0.54,0.56,0.55,0.76,0.58,0.63
bicycle,0.01,0.01,0.02,0.02,0.03,0.02,0.03,0.08,0.11,0.15,0.21000000000000002,0.32,0.37,0.4,0.52,0.56,0.64,0.72,0.74,0.74,0.89,0.82,0.85
